Gender,Education,Specialization,interests,skills ,Yearly salary in pounds,Certifications,Job_status,Job_title,Highest Qualification
Male,B.Tech,Mechanical engineering ,Sales/Marketing;Teaching;Technology,Accounting Skills;Risk management skills;Designing skills;Writing skills,77,Python,Yes,Assistent Engineer,
Female,B.Tech,Electrical and Electronics Engineering,Technology;Govt. Job;Design,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Communication skills;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Java,74,No,No,NA,
Male,BE,Mechanical Engineering,"Teaching;Technology;Design;Agriculture, services",Active Listening;Business Knowledge;People management;Communication skills;Leadership;Designing skills;Writing skills;Social Media Marketing;Hospitality;Good communication skills;Teaching;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);mechanical maintenance;Excel,63,No,Yes,Project Manager,
Male,B.Tech,Automobile Engineering,Technology,"AI, ML, Python",44,AppliedAI,Yes,ML Engineer,
Male,BE,Computer Science Engineering,Entrepreneurship,"Editing, Excel, PowerBI",56,No,Yes,Data Analyst,
Female,B.Tech,Civil Engineering,Music,"Python, Java, SQL",65,No,No,Associate Professional ,
Male,BE,Computer Science Engineering,Teaching;Technology;Trading,Programming Language skills;Critical Thinking;Artistic/Creative Skills,80,No,Yes,NA,
Male,BE,Engineering,"Take risk for Profits, Technology, Understand Human Behaviour, Understand Human Body","AI, Business Knowledge, Team work, Problem Solving skills",72,No,No,Student (Unemployed),
Male,B.Tech,Automobile Engineering,"Web development,Social causes,All fields related to Data science,Machine Learning,Data scientist",html;c;PHP;CSS;Drupal;Javascript;MSSQL;jQuery;NetBeans;MySql;Ajax;XML,57,Python3;SQL,Yes,Web Developer,Masters in Computer Science 
Male,B.Tech,Computer Science Engineering,"Research,Understand human body,BioTechnology",Cell culture ;plant tissue culture; environmental biotechnology; microbiology ;nanomaterials ;nanoparticles;nanobiotechnology; gas chromatographyHigh-Performance Liquid Chromatography (HPLC); electrospinning; mammalian cell culture ;bacterial culture; ndds ;chromatography;Tissue culture;UV/Vis Spectroscopy,44,novel drug delivery systems; industrial biotechnology,Yes,"
Research Associate",
Male,B.Tech,Biotechnology,Technology,Integrated Circuits;Lead Generation;Android and IOS App Developer;Aurdino,50,Power Electronics,Yes,Electronics  Engineer- Research Analyst,
Male,B.Com,Electronics & Telecommunications Engineering,Sales/Marketing,"Work under Pressure, Excel, Sales",57,No,Yes,MIS Executive ,Masters in Computer Applications
Female,B.Tech,Computer Applications,Technology,NO,43,No,Yes,graduate trainee,
Male,B.Sc,Computer Science Engineering,Game industry,Business Knowledge;Finance related skills;SQL;Java,54,No,Yes,HDFC BANK ,
Male,B.Tech,Computer science ,"Research,Understand human body,BioTechnology",Good Manufacturing Practice (GMP);Hazard Analysis and Critical Control Points (HACCP);Food Safety;Quality Assurance;Problem Solving;Critical Thinking;Food Microbiology;Food Technology,49,Food Technology;Food Safety;Quality Assurance,Yes,"
Lab Technician -Food Safety & Quality",
Male,BALLB,Biotechnology,Litigation & Legal service,Critical Thinking;Civil & Criminal Law,63, Contract Management,Yes,Legal Associate ,
Female,B.Tech,Law,Data analytics,Data Visualization skills( Power Bi/ Tableau );SQL,60,No,Yes,Power,Power BI Developer 
Male,B.Tech,Electronics and Communication Engineering,Data analytics,Analytical Skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Python;SQL;Java,43,Data Analyst Associate,Yes,Data Analyst,
Male,BE,Computer Science & Engineering,Design,Business Knowledge;Communication skills;Designing skills;Writing skills;Machine Learning skills,75,No,Yes,Still working jbm auto pvt Ltd company Engineering quality department,
Male,B.Sc,Engineering graphics,In IT services,"ML, Python, Java, SQL, C++, Linux",58,"Data science, ethical hacking",No,Student (Unemployed),
Female,B.Tech,Computer Science Engineering,Sales/Marketing,"Business Knowledge, Java, SQL, Excel, Reporting",68,"Java, ms excel",Yes,Business Analyst,Masters in Data Analytics
Female,B.Tech,Information Technology,Technology,"SQL, C++",64,No,Yes,Software,
Male,B.Tech,Electrical and Electronics Engineering,"Financial Analysis, Research, Technology, GIS","Active Listening, ML, Python, Analytic Thinking, SQL, Programming, Communication Skills, Creativity Skills, Team work, Logical Skills, Tableau, Reading",69,Data Analytics and Science - Prepleaf by Masai School,Yes,Assistant Professor,
Male,BE,Mechanical Engineering,Technology,"ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Artistic skills, Java, SQL, Programming, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Team work, C++, Problem Solving skills, Reading",55,Machine learning woth python,Yes,Request Proposal Manager,
Female,B.E ,Communication & Political Science,Technology,"ML, Python, SQL, Oracle, Tableau",75,Data science,Yes,Back End Developer,B.E
Female,B.Tech,Computer Science Engineering,Sales/Marketing;Design,Gathering Information;Business Knowledge;People management;Communication skills;Leadership;Sales,50,No,Yes,Business Development Manager,
Male,B.Sc,Chemical engineering,"Research, Understand Human Behaviour, Understand Human Body","Artistic skills, Business Knowledge, Communication Skills, Creativity Skills, Interpersonal Skills, Presentation Skills, Writing, Observation Skills, Reading, Subject Knowledge",46,Basic psychology course in coursera,Yes,Student (Unemployed),Masters in Psychology
Male,Poo.sc,Psychology,Sales/Marketing,Sales,73,No,Yes,Sales Executive,
Female,B.Tech,Political science,"Technology, Trading, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Editing, Team work, Excel, Presentation Skills, Reading, Designing Skills",62,No i haven't done anything,Yes,Traniee,Continuing the graduation
Female,B.Tech,Mechanical Engineering,Technology;Content Writing;Home interior design;Compering,Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Writing skills;C++;MATLAB;Good communication skills,78,Industrial Automation Systems training,Yes,Associate Engineer - Controls & Software,Masters in Control and Automation Engineering 
Male,BE,Electronics and Communication Engineering,Technology,"Java, SQL, Oracle, Programming, Problem Solving skills",68,No,Yes,Back End Developer,
Male,B.Tech,Automobile Engineering,SAFETY,"Business Knowledge, People Management, Work under Pressure, Leadership, Team work, Interpersonal Skills, Wealth Management, Risk Managing",79,BUILDING YOUR LEADERSHIP SKILLS,No,SAFETY OFFICER,PGDHSE In HEALTH AND SAFETY
Female,B.Tech,Automobile Engineering,Project Management,Active Listening;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Communication skills;Presentation Skills,68,Professional scrum master,Yes,Project Manager,
Male,MCA,Computer Science Engineering,Technology,Programming Language skills,52,No,Yes,Developer,MCA
Male,B.Sc,Computer,"Take risk for Profits, Teaching, Technology, Entrepreneurship, Understand Human Behaviour","Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Negotiation Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Market Study, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Observation Skills, Risk Managing, Reading",43,No,No,Student (Unemployed),Masters in Computer Applications
Male,B.Tech,Computer Science Engineering,"Financial Analysis, Research, Technology, Trading","Active Listening, ML, Python, Analytic Thinking, Gathering Informing, Java, SQL, Programming, People Management, Communication Skills, Work under Pressure, Leadership, Editing, Creativity Skills, Team work, C++, Linux, Reading, Building Rapport, Subject Knowledge",51,No,No,Student (Unemployed),
Male,BE,Computer Science Engineering,Technology;Data analytics;Data scientist,Active Listening;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Python;Artificial Intelligence;SQL,79,Bsnl,No,Data scientist,
Male,B.Tech,Oops,Further Studies,NO,40,No,No,NA,M.Tech ( Master of Technology )
Male,Chartered Accountancy,Mechanical Engineering,"Financial Analysis, News Coverage","Accounting Skills, AI, Business Knowledge, Work under Pressure, Leadership, Team work, Excel, Risk Managing, Reporting",46,No,Yes,Chartered Accountant,Masters in Accounting
Male,M.Tech,Taxation & Law,Data analytics;Web development;All fields related to Data science.,Programming Language skills;Analytical Skills;Leadership,72,No,Yes,DATA ANALYST,
Female,B.Tech,Mechanical(CAD/CAM) ,Data analytics;Data scientist;Information Technology,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence,65,Data Science using python & R programming.Artificual Intelligence & Deeplearning,Yes,NA,"Yes, M.Tech in VLSI and ES"
Male,B.Tech,Electronics and Instrumentation Engineering,Software Job,NO,55,No,Yes,associate Engineer,
Female,B.Tech,Mechanical Engineering,"Teaching, Software and hardware engineering jobs","Python, Writing, Observation Skills, Reading, Subject Knowledge, C language",78,No,No,Student (Unemployed),MTech
Male,B.Tech,Electrical and Electronics Engineering,Software Job,NO,60,No,Yes,associate Engineer,
Male,B.Com,Electrical and Electronics Engineering,Financial Analysis,"Accounting Skills, Excel",59,NPTL,No,Student (Unemployed),Masters in Business Administration
Male,B.Tech,Commerce,Software Job,NO,50,No,Yes,associate Engineer,
Male,B.Tech,Electrical and Electronics Engineering,"Plant Automation,Sales/Marketing",Automation;Electrical Design;variable frequency drives,74,"Reverse Direct On Line Sarter;
Electrical Design & Detailed Engineering",Yes,Sales Service Engineer-Electrical,
Female,B.Tech,Electrical and Electronics,Financial Analysis;Research;Teaching;Home interior design,Active Listening;Critical Thinking;Business Knowledge;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Risk management skills;Writing skills;HR,78,No,Yes,Young Horticulture expert,
Female,BCA,Agriculture Engineering ,Sales/Marketing,Business Knowledge,64,PGDCA,Yes,Sales ,MBA
Male,BBA,Computer,Sales/Marketing,"Work under Pressure, Leadership, Creativity Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills",51,No,No,Student (Unemployed),Masters in Business Administration
Male,BE,Sales & Marketing,Technology;Service;Social causes;Industires;Design,Hardware skills;Business Knowledge;Leadership;Product knowledge;Problem Solving skills;Designing skills;Client management,80,No,Yes,Quality engineer ,
Male,B.Tech,Electronics and Communication Engineering,Technology;Industires;Sports Industry,Active Listening;Hardware skills;Mass Communication;Risk management skills,44,No,Yes,Assistent Engineer,
Female,B.Com,Electronics and Communication Engineering,Financial Analysis;Research;Sales/Marketing;Trading;Supply Chain Analysis,Accounting Skills;Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Social Media Marketing;Interpersonal skills;Presentation Skills;R;SQL,44,"Digital Marketing,  data analytics",No,NA,
Male,B.Com ,BPS,"News Coverage, Research, Teaching, Technology, Entrepreneurship, Understand Human Behaviour, Understand Human Body","Accounting Skills, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, SQL, Programming, Communication Skills, Negotiation Skills, Leadership, News Gathering, Excel, Interpersonal Skills, Presentation Skills, R, Linux, Writing, Tableau, Observation Skills, Reporting, Reading, Designing Skills",77,Data science ,No,Student (Unemployed),
Male,B.Com,Computer Science Engineering,News Coverage;Research;Teaching;Technology;Understand human behaviour;Web Designing;Content Writing;Data analytics;Game industry;Web development;Market reserach;Service;Infrastructure,Accounting Skills;Hardware skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Communication skills;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Data Visualization skills( Power Bi/ Tableau );Linux;Python;SQL;Content creation;Cloud Computing;MATLAB;Good communication skills,42,Data science,No,NA,
Male,Diploma,Computers,Infrastructure,Critical Thinking;Artistic/Creative Skills;Good communication skills,54,No,Yes,Back Office Executive,
Female,B.Tech,Civil Engineering,Technology,Active Listening;Programming Language skills;Python;SQL;Java,78,No,Yes,Software Engineer,
Female,B.Tech,Information TechNAlogy,News Coverage;Social Justice;Teaching;Technology;Understand human behaviour;Web Designing;Content Writing;Data analytics;Digital marketing;Home interior design;Web development;Social media marketing;Gardening;Service;Social causes;Industires;Design;Navy Defence related,Active Listening;Programming Language skills;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Leadership;Writing skills;Linux;SQL;Java;Client management;Good communication skills,56,agile safe,Yes,Associate consultant,
Male,B.Sc,Information TechNAlogy,"Research, Technology, Trading","Python, Analytic Thinking, People Management, Leadership, Excel, Logical Skills, Problem Solving skills",49,PGDCA,No,Student (Unemployed),Masters in Business Administration
Male,B.Sc,Mathematics,Technology,"Excel, Writing, Reading",74,PGDCA,No,Student (Unemployed),Masters in Science
Female,MCA,Physics,Web development,C++,67,Salem Farmers producer company ,No,Salem Farmers producer company/current job appen ,
Female,BCA,Java ,Web Designing,Designing skills;PHP,50,No,No,NA,MCA
Female,B.Sc,Computer,Understand Human Behaviour,"Gathering Informing, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Team work, Writing, Reading",80,No,Yes,HR Executive,
Male,B.Tech,Home science,Trading,"Business Knowledge, Programming, Communication Skills, Negotiation Skills, Editing, Creativity Skills, Market Study, Logical Skills, Interpersonal Skills, Wealth Management, Problem Solving skills, Mass Communication",76,1.Introduction to electronics,No,Student (Unemployed),
Female,B.Pharm,Communication & Political Science,Medicine,"Life sciences;
Pharmacovigilance;pharmacology;
GMP;
Pharmaceutics;
Drug Discovery;
Clinical Trials;
Pharmacokinetics;
Clinical Research;
High-Performance Liquid Chromatography (HPLC);
Good Clinical Practice (GCP);
Good Laboratory Practice (GLP);
CRO ManagementCRO Management",76,pharmacology,Yes,Clinical Research Associate ,
Female,B.Tech,Pharmacy,"Research,Understand human body,BioTechnology","Cancer Research; cancer Biology ;bacterial transformation; molecular cloning; cell culture;
Gel Electrophoresis;
Fluorescence Microscopy;
Polymerase Chain Reaction (PCR);
Real-Time Polymerase Chain Reaction (qPCR)",54,"
Genomics and Proteomics;
Tissue Engineering;
Systems Biology;
Structural Biology;
Genomics and Proteomics;
Biochemistry",Yes,Research Associate,
Female,B.Tech,BiotechNAlogy,Business analytics ,"Active Listening, Business Knowledge, Communication Skills, Leadership, Interpersonal Skills, Presentation Skills, Problem Solving skills, Reading, Designing Skills",76,No,No,Student (Unemployed),Masters in Business Analytics
Male,B.Tech,Electronics and Communication Engineering,Understand human behaviour;Game industry;Blockchain,Business Knowledge;Product knowledge;Problem Solving skills,47,Python,Yes,Site Engineer,
Female,BA,Electrical and Electronics Engineering,Trading;Understand human body;Digital marketing,Critical Thinking;Negotiation skills;Editing,57,No,Yes,Accountent,
Male,B.Tech,General,Technology;Trading;Web Designing;Govt. Job,Problem Solving skills;Java;MATLAB,55,No,Yes,BMS executive ,
Female,B.Sc,Engineering ,Teaching;Govt. Job,Active Listening;Writing skills,67,No,No,NA,
Male,BBA,Automobile engineering ,Financial Analysis;Understand human behaviour;Industires;Blockchain,Accounting Skills;Business Knowledge,54,No,Yes,Entrepreneur,MBA
Female,B.Tech,Mechanical Engineering,Construction;Construction Manegement,construction management,58,AutoCAD Civil 3D,Yes,Civil & Structural Engineer,Masters in Civil Engineering
Male,B.Tech,Mechanical Engineering,Construction;Construction Manegement,"Proeficiency in Software like STAAD PRO, ETABS",50,Project Engineering,Yes,Civil Design Engineer,
Female,B.Tech,Computer Science Engineering,Industires,Business Knowledge;Analytical Skills;People management;Product knowledge;Problem Solving skills;Good communication skills,45,No,Yes,Quality control engineer ,
Male,B.Tech,Mathematics,"Cyber Security,Technology,Data analytics,Machine Learning,Cloud computing","
Splunk;ServiceNow;Cybersecurity;
",46,Splunk Administration 6.3;Splunk Certified Power User 6.3;GIAC Certification,Yes,Cyber Security Analyst,
Male,BE,Accounting,Technology;Trading;Game industry;Information Technology,Hardware skills;Programming Language skills;Gathering Information;Product knowledge;SQL;Java;Automation,68,ISTQB,Yes,SOFTWARE Tester,
Male,B.E ,Civil Engineering,"Research, Sales/Marketing, Social Justice, Take risk for Profits, Technology, Trading, Entrepreneurship, Understand Human Behaviour","Active Listening, AI, ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Artistic skills, SQL, Negotiation Skills, Work under Pressure, Leadership, News Gathering, Editing, Product Knowledge, Creativity Skills, Team work, Excel, Interpersonal Skills, Presentation Skills, C++, R, Problem Solving skills, Mass Communication, Writing, Tableau, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills, Subject Knowledge",66,"Data Science and AI, Catia",Yes,Mechanical Engineer,
Male,BE,Civil Engineering,Research;Social Justice;Technology;Trading;Understand human behaviour;Supply Chain Analysis;Data analytics;Govt. Job;Game industry;Digital marketing;Data scientist;Web development;Market reserach;Social media marketing;Gardening;Service;Social causes,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Presentation Skills;R;Python;Artificial Intelligence;SQL;Content creation;Good communication skills,71,Data Science and AI,Yes,Production Engineer,
Male,BE,Mechanical engineering ,News Coverage;Research;Sales/Marketing;Social Justice;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Content Writing;Data analytics;Govt. Job;Game industry;Digital marketing;Data scientist;Web development;Market reserach;Social media marketing;Service;Infrastructure;Social causes;All fields related to Data science.;Industires;Design;SAP Consultant in MM;Information Technology;Product Life cycle Management;Navy Defence related;Sports Industry;Blockchain;Salesforce Admin,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Social Media Marketing;Interpersonal skills;Wealth Management;Presentation Skills;R;Python;Artificial Intelligence;SQL;Content creation;Medical knowledge;Hospitality;HR;MATLAB;Good communication skills;Teaching;SAP;Us & Canada Recruitment (IT),66,Data Science and AI,Yes,Production Engineer,
Male,B.E ,Electronics & Telecommunications ,"Sales/Marketing, Technology","Interpersonal Skills, C++, Sales",56,NPTEL,Yes,Mechanical Engineer,Masters in Business Administration
Male,BE,Computer science ,Railway Engineering,"Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Negotiation Skills, Work under Pressure, Leadership, Team work, Excel, Interpersonal Skills, Presentation Skills, Problem Solving skills, Mass Communication, Writing, Observation Skills, Risk Managing, Reporting, Designing Skills, Building Rapport, Subject Knowledge",57,"Diploma in Railway Engineering, ClearRoute1 & 2, Bentley Rail Track, Microstation, AutoCAD",Yes,Design Engineer ,Masters in Urban Engineering
Male,BE,Mathematics,Financial Analysis;Research;Data analytics;Data scientist;Social media marketing;Machine Learning,Accounting Skills;Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Leadership;Risk management skills;Designing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Presentation Skills;Linux;Python;Artificial Intelligence;SQL;Java;Cloud Computing;Good communication skills;Teaching;AWS;Teaching experience;Excel,77,AI/ML Nano Degree ,Yes,Product Engineer (AI/ML),
Male,B.Tech,Mathematics,Technology;Web Designing,Designing skills;SQL;Java,63,No,Yes,NA,
Female,B.Sc,Mathematics,Data analytics;Govt. Job,Writing skills,78,No,Yes,Mahendra Next Wealth IT Pvt Ltd.Malasamuthiram,
Male,B.Com,Automobile Engineering,Govt. Job,Accounting Skills;Active Listening;Hardware skills,53,No,Yes,Sale executive,Masters of commerce
Male,B.Sc,Civil Engineering,Technology,Programming Language skills;Finance related skills;SQL,44,No,Yes,Software Developer,
Female,B.Tech,Computer Science Engineering,"Embedded Systems,Technology","Programming,Leadership skills,Presentation skills,Team work",73,Enbedded Systems Trainig,Yes,Embedded Developer,M.Tech
Female,B.Tech,Electrical and Electronics Engineering,Teaching;Technology;Digital marketing;Gardening,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Problem Solving skills;Writing skills;Interpersonal skills;Presentation Skills;MATLAB;Good communication skills,46,"digital marketing, python ",Yes,Project Engineer ,
Female,B.Sc,Chemistry,"Research, Technology","Excel, C++",52,PGDCA,No,Student (Unemployed),
Female,BE,Accounts,Data analytics;Data scientist,Active Listening;Programming Language skills;Gathering Information;Communication skills;Problem Solving skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );C++;Python;SQL;Programming Language C,48,Data science using python and r & Data Visualization Using Tableau,No,NA,
Female,BE,Computer,Teaching;Understand human body,Medical knowledge,47,No,No,NA,
Female,B.Sc,Electronics and Communication Engineering,News Coverage,"Business Knowledge, Programming",47,No,Yes,Journalist,
Male,BE,Electrical engineering ,Data analytics;Data scientist,Active Listening;Hardware skills,59,No,Yes,Desktop support engineer,
Male,BE,Physics,Financial Analysis;Oil and Gas;Construction,Leadership;Editing;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);mechanical maintenance,76,No,No,NA,
Male,BE,Data science,Research;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;People management;Communication skills;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL;MATLAB;Good communication skills,57,No,No,NA,
Male,BE,Medical electronics,Technology;Supply Chain Analysis,Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Mass Communication;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL;MATLAB;Good communication skills,69,Tableau,No,NA,
Male,B.Sc,Computer Science Engineering,Technology;Web Designing;Data analytics;Govt. Job;Information Technology,Gathering Information;Business Knowledge;Editing;Problem Solving skills;Writing skills;C++;SQL;Java,63,Selenium automation,Yes,Software tester,
Male,MCA,Electronics and Communication Engineering,Research;Technology,Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Linux;Python;Artificial Intelligence;SQL,70,Python Django,No,NA,MCA
Male,B.Tech,Computer Science Engineering,News Coverage;Research;Sales/Marketing;Social Justice;Technology;Trading;Market reserach;Industires;Design,Accounting Skills;Active Listening;Hardware skills;Programming Language skills;Product knowledge;Problem Solving skills;Java,42,VFX Designing,Yes,VFX Designer,
Female,MBA,Mechanical Engineering,Technology,Communication skills,70,No,No,Hr admin,Mba
Female,B.Sc,Commerce,Singing,"AI, ML, Python, Java, SQL, Oracle, Programming, Problem Solving skills, Tableau, Designing Skills",65,Data Science and AI,Yes,Computer Software Engineer,Masters in Computer Applications
Male,B.Sc,Computer Science Engineering,Sales/Marketing,Active Listening;Hardware skills;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Finance related skills;People management;Communication skills;Product knowledge;Problem Solving skills;Risk management skills;Sales,48,No,Yes,Medical representative ,Masters in physics 
Female,M.Tech,Physics ,Technology;Data analytics;Game industry;Data scientist;Information Technology;Excel,Programming Language skills;Communication skills;Writing skills;C++;Presentation Skills;R;Linux;Python;SQL;Good communication skills;Teaching;Programming Language C;Teaching experience,76,No,No,NA,master in general computer science
Male,B.Tech,computer science,Technology,"Python, Linux",64,No,Yes,Computer Software Engineer,
Female,B.Com,Electronics and Communication Engineering,Financial Analysis,"Accounting Skills, ML, Python",43,No,No,Back end operations,Masters in Accounting
Female,BA,Accountancy,Govt. Job;Gardening;Teaching,Communication skills;Leadership;Problem Solving skills;Designing skills;Writing skills;Sales;C++;Java;Hospitality,47,MS Office,Yes,NA,
Female,B.Tech,English,Further Studies,NO,54,No,No,NA,M.Tech ( Master of Technology )
Male,BA,Electrical and Electronics Engineering,Sales/Marketing;Understand human behaviour,Business Knowledge;People management;Leadership,55,No,Yes,Store manager ,Pgpm in marketing 
Male,B.Tech,Economics,"Financial Analysis, Teaching, Technology, Trading","Python, Java, SQL, Oracle, Programming, Team work, Excel, Logical Skills, Interpersonal Skills, Linux, Problem Solving skills",75,No,Yes,Computer Software Engineer,
Male,B.Tech,Computer Science Engineering,Technology;SAP Consultant in MM;Machine Learning;Oil and Gas,Designing skills;Linux;SQL;Java;Cloud Computing;mechanical maintenance,44,No,Yes,Associate,
Male,B.M.S,Mechanical Engineering,"Financial Analysis, Sales/Marketing, Take risk for Profits, Entrepreneurship","Business Knowledge, Work under Pressure, Team work",61,No,Yes,Sales Executive,Masters in Business
Male,BCA,Business Administration,Technology;Web Designing;Content Writing;Game industry;Data scientist;Web development;Design;Information Technology;Blockchain,Critical Thinking;Artistic/Creative Skills;Analytical Skills;Communication skills;Editing;Problem Solving skills;Risk management skills;Writing skills;C++,58,Master the C Language,No,NA,
Female,MA,Principles of Programming Through C Language,Teaching;Govt. Job,Teaching,51,ACCP,No,Teacher,Masters in education and english
Female,B.Tech,Education,"Financial Analysis, Take risk for Profits, Technology, Understand Human Behaviour","Analytic Thinking, Business Knowledge, SQL, People Management, Communication Skills, Negotiation Skills, Product Knowledge, Team work, Excel, Problem Solving skills, Writing, Subject Knowledge",44,No,Yes,Business Analyst,
Female,BE,Computer Science Engineering,Data analytics,Active Listening;Gathering Information;Analytical Skills;Communication skills;Python;SQL,48,Data Science,No,NA,
Female,B.Tech,Digital Signal Processing,Technology;Information Technology,PLC/SCADA/DCS/VLSI,66,SCADA,Yes,Instrumentation and Control Engineer ,
Female,BALLB,Instrumentation Engineering,Social Justice;Social causes,Civil & Criminal Law;Good communication skills,80,"""Litigation",Yes,Law Intern,
Female,M.Sc,Law,Sales/Marketing;Retailer;Market reserach,Active Listening;Artistic/Creative Skills;Communication skills;Machine Learning skills;Sales,68,No,No,NA,Masters in fashion designing 
Female,M.Sc,Fashion designing ,Research;Teaching;Technology;Govt. Job,Communication skills;Negotiation skills;Leadership;Problem Solving skills;Writing skills;HR;Teaching,78,No,Yes,Process exceutive ,Master in physics
Male,B.Tech,Physics ,Industires,Hardware skills;Business Knowledge;Machine Learning skills,42,No,No,NA,
Male,B.Tech,Mathematics,Technology;Information Technology;Sports Industry,Risk management skills;Python;Artificial Intelligence,41,Python,Yes,Mechine Learning Engineer,
Male,B.Com,Computer Science  Engineering,"Sales/Marketing, Entrepreneurship","Business Knowledge, Risk Managing, Reporting",40,No,No,Self employed,Masters in Accounting
Male,BCA,Accountancy,Web Designing;Data analytics;Digital marketing;Data scientist,Analytical Skills;Communication skills;Problem Solving skills;Writing skills;C++,60,No,No,NA,
Male,B.Tech,C programming ,Sales/Marketing,Hardware skills,50,No,No,Cultfit,
Male,B.Tech,Mechanical ,Technology,Machine Learning skills,41,No,Yes,Engineer ,
Male,BA,Psychology,Further Studies,NO,79,No,No,NA,M.Tech ( Master of Technology )
Male,BA,BA,Data scientist,Programming Language skills;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL,56,Data science,Yes,Project intern,
Male,B.Com,Commerce,Sales/Marketing,"Accounting Skills, Negotiation Skills, Work under Pressure, Logical Skills",69,No,No,Sales Executive,Masters in Business Administration
Male,BE,Automobile ,Sales/Marketing,Accounting Skills;Gathering Information;People management;Communication skills;Product knowledge;Sales;Presentation Skills;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);Excel,77,No,Yes,Marketing Executive,
Male,B.Com,Sales & Marketing,Take risk for Profits,Team work,55,Electronic ,Yes,Clothes designer,
Male,BBA,Marketing analyticsÃŠ,Marketing ,Leadership,74,Dmm ,No,Marketing executive ,Masters in marketing analytics 
Male,B.Sc,Statistics ,Technology;Govt. Job;Data scientist,Active Listening;Hardware skills;Gathering Information;Hospitality;Client management;Good communication skills,61,No,No,NA,
Male,B.Com,Accountancy,Financial Analysis,"Accounting Skills, Analytic Thinking, Communication Skills, Product Knowledge, Logical Skills, Reading, Subject Knowledge",66,"Advance Excel, Tally ERP 9",Yes,Business Analyst,Only graduation completed.
